Date,Open,High,Low,Close,Volume,OpenInterest,sma
2019-03-18,1712.39,1750.0,1712.39,1742.0,4804401,0.0,1648.6569360000008
2019-03-19,1754.13,1784.16,1753.51,1762.7,5692348,0.0,1652.4201360000009
2019-03-20,1769.94,1799.01,1767.0338,1797.73,5635029,0.0,1655.752336000001
2019-03-21,1796.26,1823.75,1787.281,1818.4,5103096,0.0,1659.0036360000006
2019-03-22,1810.17,1818.98,1763.11,1764.06,5841108,0.0,1661.1330360000006
2019-03-25,1757.79,1782.675,1747.5,1774.07,4735693,0.0,1663.5044360000009
2019-03-26,1792.85,1805.77,1773.3597,1784.47,4486129,0.0,1666.4006360000008
2019-03-27,1784.13,1787.5,1745.68,1766.0,3998643,0.0,1669.323102000001
2019-03-28,1770.0,1777.93,1753.47,1773.67,2819446,0.0,1671.341502000001
2019-03-29,1786.58,1792.86,1776.63,1781.09,2744465,0.0,1673.3238960000008
2019-04-01,1800.11,1815.67,1798.73,1814.36,2495724,0.0,1675.7836960000009
2019-04-02,1811.93,1820.0,1805.121,1814.0,3098296,0.0,1678.198854000001
2019-04-03,1826.72,1830.0,1809.62,1820.41,3637589,0.0,1682.039094000001
2019-04-04,1820.65,1828.75,1804.2,1819.51,3318144,0.0,1685.6982940000007
2019-04-05,1829.0,1838.58,1825.19,1837.65,3186217,0.0,1689.3518940000006
2019-04-08,1833.23,1850.2,1825.11,1849.6789999999999,3432186,0.0,1692.9734740000006
2019-04-09,1845.49,1853.09,1831.78,1836.52,3300977,0.0,1696.9801740000007
2019-04-10,1841.0,1848.0,1828.81,1847.33,2766747,0.0,1702.0721740000008
2019-04-11,1848.7,1849.95,1840.31,1844.5,2412329,0.0,1705.557550000001
2019-04-12,1848.4,1851.5,1841.3,1842.96,2598729,0.0,1708.008550000001
2019-04-15,1842.0,1846.85,1818.9,1844.85,3271660,0.0,1712.429550000001
2019-04-16,1851.31,1869.77,1848.0,1862.92,2788392,0.0,1717.077950000001
2019-04-17,1872.5,1876.473,1860.44,1864.82,2588487,0.0,1721.2369500000013
2019-04-18,1866.2,1870.82,1859.48,1861.4,2613709,0.0,1725.676550000001
2019-04-22,1855.4,1888.42,1845.64,1888.04,3196934,0.0,1731.205234000001
2019-04-23,1891.2,1929.26,1889.58,1924.17,4123487,0.0,1737.9738400000008
2019-04-24,1925.1,1929.69,1898.16,1900.88,3044542,0.0,1744.155440000001
2019-04-25,1917.0035,1922.45,1900.31,1902.16,4154636,0.0,1749.440840000001
2019-04-26,1928.69,1951.0,1898.0,1950.9,7614548,0.0,1755.6513880000007
2019-04-29,1949.0,1956.335,1934.09,1939.0,3542692,0.0,1761.9538400000008
2019-04-30,1930.12,1935.71,1906.95,1926.53,3106108,0.0,1768.333842000001
2019-05-01,1933.09,1943.64,1910.55,1911.29,2814558,0.0,1774.0101800000007
2019-05-02,1913.33,1921.55,1881.87,1901.72,3641665,0.0,1779.5921800000008
2019-05-03,1949.0,1964.4,1936.0,1961.76,5687567,0.0,1786.4293800000007
2019-05-06,1917.98,1959.0,1910.5,1950.29,4911645,0.0,1792.8113800000006
2019-05-07,1939.99,1949.1005,1903.3795,1922.58,5451477,0.0,1798.6029800000006
2019-05-08,1918.87,1935.37,1910.0,1916.85,3650183,0.0,1804.2133800000008
2019-05-09,1900.98,1909.4,1876.0,1900.01,4928658,0.0,1809.3917800000008
2019-05-10,1898.0,1903.79,1856.0,1889.98,5355441,0.0,1814.3955800000008
2019-05-13,1837.11,1846.535,1818.0,1822.62,5312153,0.0,1817.4227800000008
2019-05-14,1839.9,1852.44,1815.75,1840.05,4179780,0.0,1820.3005800000008
2019-05-15,1827.95,1874.4270000000001,1823.0,1871.12,4294255,0.0,1823.8867800000007
2019-05-16,1885.9,1917.51,1882.29,1907.86,4317968,0.0,1828.6607800000006
2019-05-17,1893.05,1910.53,1867.33,1867.99,4384715,0.0,1833.4949800000009
2019-05-20,1852.69,1867.78,1835.54,1858.04,3483969,0.0,1838.2135800000005
2019-05-21,1874.79,1879.0,1846.0,1858.11,3603729,0.0,1841.9693800000005
2019-05-22,1851.22,1871.485,1851.0,1859.425,2647140,0.0,1845.7094800000007
2019-05-23,1837.0,1844.0,1804.2,1815.67,4041503,0.0,1848.2068800000006
2019-05-24,1835.89,1841.76,1817.851,1823.3,3096132,0.0,1850.9670800000008
2019-05-28,1832.35,1849.2668,1827.35,1836.56,2861458,0.0,1853.4400800000005
2019-05-29,1823.18,1830.0,1807.5327,1820.2,3730772,0.0,1855.0040800000006
2019-05-30,1824.31,1829.47,1807.825,1815.81,2934611,0.0,1856.0662800000005
2019-05-31,1790.01,1795.585,1772.7034,1775.07,3916862,0.0,1855.6130800000008
2019-06-03,1760.01,1766.29,1672.0,1692.76,8372675,0.0,1853.1002800000008
2019-06-04,1699.24,1730.82,1680.89,1730.18,5141474,0.0,1852.4226800000006
2019-06-05,1749.6,1752.0,1715.2513,1739.48,3781000,0.0,1851.7308800000005
2019-06-06,1737.71,1759.99,1726.13,1754.6292,3355072,0.0,1851.1340640000003
2019-06-07,1762.4,1806.2538,1759.49,1804.02,4065603,0.0,1851.8944640000004
